"19";"1";"156794164312";"216410885045047";"216410885045047";"2014-11-08 22:05:27";"Harry Potter";"https://fbcdn-sphotos-e-a.akamaihd.net/hphotos-ak-xaf1/v/t1.0-9/s720x720/1969310_10152800200189313_7186646695452649740_n.png?oh=3f2e74f171fbb78d7b617abb9424bb4e&oe=54EEFFE2&__gda__=1423587310_846812c70fbae675d18bc0ee26f08f0d";"Harry Potter Hogwarts Collection -  http://bit.ly/1n3udeM
Harry Potter products - http://www.harrypottershop.com/";"Titanic";"https://scontent-a.xx.fbcdn.net/hphotos-xap1/v/t1.0-9/s720x720/10665091_863460120340117_2286990747253987710_n.jpg?oh=041e39c4ae38d52bcc49d07906f757f8&oe=54E9192B";"Own it on Blu-ray 3D™, Blu-ray™ & DVD TODAY!";"";"N
"20";"1";"115081758505771";"156794164312";"156794164312";"2014-11-08 22:05:30";"Pirates of the Caribbean 3";"http://content6.flixster.com/movie/10/95/55/10955508_800.jpg";"N;"Harry Potter";"https://fbcdn-sphotos-e-a.akamaihd.net/hphotos-ak-xaf1/v/t1.0-9/s720x720/1969310_10152800200189313_7186646695452649740_n.png?oh=3f2e74f171fbb78d7b617abb9424bb4e&oe=54EEFFE2&__gda__=1423587310_846812c70fbae675d18bc0ee26f08f0d";"Harry Potter Hogwarts Collection -  http://bit.ly/1n3udeM
Harry Potter products - http://www.harrypottershop.com/";"";"N
"21";"2";"122280464518509";"1428080004104081";"1428080004104081";"2014-11-08 22:34:09";"Gravity";"https://scontent-a.xx.fbcdn.net/hphotos-xap1/v/t1.0-9/s720x720/1622784_664332130313337_1714569165_n.jpg?oh=5891bf3e7dcf58735e0d28ec1dce14fb&oe=54EDBCB4";"Now playing in theaters: http://bit.ly/gravitytickets | Own Gravity today: http://bit.ly/OwnGravity";"Bollytweets";"https://fbcdn-sphotos-g-a.akamaihd.net/hphotos-ak-xfa1/v/t1.0-9/10168056_1438780129700735_6060558861376114503_n.jpg?oh=55800a7604aa27c23ead416648ffad40&oe=54D32298&__gda__=1423602963_3f1a9f522aab69f3815aee85f76fc72e";"Bollytweets: The Official Channel of Bollywood. Follow us on twitter www.twitter.com/Bollytweetss";"";"N
"22";"2";"195843020454275";"225034700870481";"225034700870481";"2014-11-08 22:34:09";"The Matrix";"https://fbcdn-sphotos-b-a.akamaihd.net/hphotos-ak-xpf1/t31.0-8/s720x720/1465729_654178027954103_59132468_o.jpg";"The official Facebook page for The Matrix | Welcome to the Real World.";"The Dark Knight Rises";"https://fbcdn-sphotos-h-a.akamaihd.net/hphotos-ak-prn2/t31.0-8/s720x720/286671_495611183812830_1910287057_o.png";"The Dark Knight Rises - Available Now";"kl;";"N
"23";"2";"109392685745478";"195843020454275";"195843020454275";"2014-11-08 22:34:09";"Pirates of the Caribbean: Dead Man's Chest";"http://ecx.images-amazon.com/images/I/614X4T7HSZL.jpg";"N;"The Matrix";"https://fbcdn-sphotos-b-a.akamaihd.net/hphotos-ak-xpf1/t31.0-8/s720x720/1465729_654178027954103_59132468_o.jpg";"The official Facebook page for The Matrix | Welcome to the Real World.";"";"N
"24";"2";"225034700870481";"122280464518509";"122280464518509";"2014-11-08 22:34:09";"The Dark Knight Rises";"https://fbcdn-sphotos-h-a.akamaihd.net/hphotos-ak-prn2/t31.0-8/s720x720/286671_495611183812830_1910287057_o.png";"The Dark Knight Rises - Available Now";"Gravity";"https://scontent-a.xx.fbcdn.net/hphotos-xap1/v/t1.0-9/s720x720/1622784_664332130313337_1714569165_n.jpg?oh=5891bf3e7dcf58735e0d28ec1dce14fb&oe=54EDBCB4";"Now playing in theaters: http://bit.ly/gravitytickets | Own Gravity today: http://bit.ly/OwnGravity";"";"N
"25";"2";"103861706317411";"121996837865544";"N;"2014-11-08 22:34:09";"3 Idiots";"http://upload.wikimedia.org/wikipedia/en/d/df/3_idiots_poster.jpg";"N;"Agneepath";"https://scontent-b.xx.fbcdn.net/hphotos-xpa1/v/t1.0-9/s720x720/10525862_758815334183688_4188289553107219792_n.jpg?oh=b158fa264cddd8843c5f9e8bf0cb4a80&oe=54E97BD0";"Welcome to the official Dharma page for the film Agneepath. Like this page and check back often for images, quotes, and other updates from the team of Agneepath.";"";"N
"26";"2";"229197930430239";"162971073727950";"162971073727950";"2014-11-08 22:34:09";"Gladiator";"https://fbcdn-sphotos-c-a.akamaihd.net/hphotos-ak-xaf1/v/t1.0-9/s720x720/306154_416530661696964_2084765846_n.jpg?oh=c43d531ae53ff248ec0a5e27ec9ece53&oe=54EC45D8&__gda__=1423223807_575e4cbc6ce361a8327b816460892872";"The Gladiator Who Defied An Empire. ";"Transformers: Dark of the Moon";"http://upload.wikimedia.org/wikipedia/en/b/bf/Transformers_dark_of_the_moon_ver5.jpg";"N;"";"N
