id,user_id,movie_name_first,movie_name_second,facebook_id_first,facebook_id_second,user_clicked,created_at,why user liked?,source
58,5,The Ugly Truth,17 Again,41872475652,79203305680,41872475652,2014-11-08 23:08:27,,
59,5,Bride Wars,Frozen,35312278675,482368755113431,482368755113431,2014-11-08 23:08:27,The animated movie was very cute and I liked its theme.,
60,5,Hitch,Bride Wars,107315332680159,35312278675,35312278675,2014-11-08 23:08:27,,
61,6,Wedding Crashers,Old School,225105910930642,155307641244611,225105910930642,2014-11-08 23:12:04,,
62,6,Wedding Crashers,The Matrix,108111052549869,195843020454275,108111052549869,2014-11-08 23:12:04,,
63,6,The Matrix,Fight Club,113401482006986,39644305296,113401482006986,2014-11-08 23:12:04,,
64,6,Old School,Wedding Crashers,155307641244611,108111052549869,108111052549869,2014-11-08 23:12:04,,
65,6,Step Brothers,Old School,12500648763,107708005925966,12500648763,2014-11-08 23:12:04,Its just really funny,
66,6,Fight Club,Wedding Crashers,39644305296,225105910930642,225105910930642,2014-11-08 23:12:04,,
67,6,Old School,The Matrix,107708005925966,113401482006986,113401482006986,2014-11-08 23:12:04,,
68,7,Batman: The Dark Knight,Monty Python and the Holy Grail,12887942787,111685325514787,12887942787,2014-11-08 23:20:16,,
69,7,Toy Story,The Lord of the Rings Trilogy,10498014129,212216417436,10498014129,2014-11-08 23:20:16,"Very inventive and creative. A classic animation, and it also helps that I saw it as a kid. ",
70,7,The Lion King,Batman: The Dark Knight,12393266550,12887942787,12393266550,2014-11-08 23:20:16,,
71,7,The Lord of the Rings Trilogy,The Lion King,212216417436,12393266550,12393266550,2014-11-08 23:20:16,,
72,6,Anchorman,The Matrix,149754391717284,195843020454275,149754391717284,2014-11-08 23:20:25,,
73,6,The Matrix,Dodgeball,195843020454275,401640156527419,195843020454275,2014-11-08 23:20:25,,
74,6,The Lord of the Rings Trilogy,Step Brothers,212216417436,12500648763,212216417436,2014-11-08 23:20:25,,
75,6,The Hunger Games,Fight Club,159746560708670,39644305296,39644305296,2014-11-08 23:20:25,,
